borough,CT,NTA
Brooklyn,3054200,BK43
Brooklyn,3054400,BK43
Brooklyn,3054600,BK43
Brooklyn,3074800,BK43
Brooklyn,3075000,BK43
Brooklyn,3075200,BK43
Brooklyn,3075400,BK43
Brooklyn,3075600,BK43
Brooklyn,3075800,BK43
Brooklyn,3076000,BK43
Brooklyn,3076200,BK43
Brooklyn,3076800,BK43
Brooklyn,3051300,BK73
Brooklyn,3051500,BK73
Brooklyn,3051700,BK73
Brooklyn,3051900,BK73
Brooklyn,3052300,BK73
Brooklyn,3052500,BK73
Brooklyn,3052700,BK73
Brooklyn,3054700,BK73
Brooklyn,3054900,BK73
Brooklyn,3055100,BK73
Brooklyn,3055300,BK73
Brooklyn,3055500,BK73
Brooklyn,3055700,BK73
Brooklyn,3030100,BK79
Brooklyn,3030300,BK79
Brooklyn,3036100,BK79
Brooklyn,3036300,BK79
Brooklyn,3036501,BK79
Brooklyn,3036502,BK79
Brooklyn,3036700,BK79
Brooklyn,3036900,BK79
Brooklyn,3037100,BK79
Brooklyn,3037300,BK79
Brooklyn,3043800,BK46
Brooklyn,3044000,BK46
Brooklyn,3044200,BK46
Brooklyn,3044400,BK46
Brooklyn,3044800,BK46
Brooklyn,3045000,BK46
Brooklyn,3045200,BK46
Brooklyn,3045400,BK46
Brooklyn,3046202,BK46
Brooklyn,3011700,BK37
Brooklyn,3011900,BK37
Brooklyn,3012100,BK37
Brooklyn,3012901,BK37
Brooklyn,3012902,BK37
Brooklyn,3013100,BK37
Brooklyn,3013300,BK37
Brooklyn,3013500,BK37
Brooklyn,3013700,BK37
Brooklyn,3013900,BK37
Brooklyn,3014100,BK37
Brooklyn,3014300,BK37
Brooklyn,3014900,BK37
Brooklyn,3015100,BK37
Brooklyn,3015300,BK37
Brooklyn,3015500,BK37
Brooklyn,3015700,BK37
Brooklyn,3015900,BK37
Brooklyn,3016500,BK37
Brooklyn,3016700,BK37
Brooklyn,3015400,BK99
Brooklyn,3017500,BK99
Brooklyn,3017700,BK99
Brooklyn,3040700,BK99
Brooklyn,3054300,BK99
